System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.56(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.41(Debug=False)

Messages
3/8/2023 11:31:40 AM   | Message | Attention: Some items in the PLC project contain special characters. | TIAParser.FormatName() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_LDT" of item "RFC_SV_State_V2T_D_E_Going" is not supported! | TIAParser.CreateMemberInfo() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_LDT" of item "RFC_SV_State_V2T_D_E_Coming" is not supported! | TIAParser.CreateMemberInfo() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_Variant" of item "RFC_IDB TM Traction Main.Change of Order"Move to Orders"" is not supported! | TIAParser.CreateMemberInfo() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_Pointer" of item "RFC_IDB TM Traction Main.Stöber G6 Profinet"Operating Hours"" is not supported! | TIAParser.CreateMemberInfo() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_Variant" of item "RFC_RFC_IDB TM Traction Main.Stöber G6 Profinet.S_GETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_Variant" of item "RFC_RFC_IDB TM Traction Main.Stöber G6 Profinet.S_SETIO_PARTOUTPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_Variant" of item "RFC_IDB TM Traction Faults.Fault handler 15 Byte"Not Stop"" is not supported! | TIAParser.CreateMemberInfo() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_Variant" of item "RFC_IDB TM Traction Faults.Fault handler 15 ByteStop" is not supported! | TIAParser.CreateMemberInfo() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_Variant" of item "RFC_IDB TM Traction Faults.Fault handler 15 ByteInfo" is not supported! | TIAParser.CreateMemberInfo() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_Pointer" of item "RFC_IDB TM Traction Faults.Fault handler 15 ByteGeneral" is not supported! | TIAParser.CreateMemberInfo() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_Pointer" of item "RFC_IDB TM Lift Main.Stöber G6 Pos"Operating Hours"" is not supported! | TIAParser.CreateMemberInfo() | 
3/8/2023 11:31:40 AM   | Message | Datatype "S7_Variant" of item "RFC_RFC_IDB TM Lift Main.Stöber G6 Pos.S_GETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
